#"Step","Potential Energy (kJ/mole)","Temperature (K)"
201000,-1302676.28677483,431.83686511628497
201500,-1302632.0647668284,317.9919938800174
202000,-1302644.4158567558,333.0327346422585
202500,-1302641.5726969857,336.0047759017751
203000,-1302674.372387908,317.69825262580144
203500,-1302685.006698284,260.72637136029965
204000,-1302684.9518265277,320.02133775702634
204500,-1302675.7990399513,258.5598021177719
205000,-1302657.9057795948,308.8351495015887
205500,-1302644.5650146625,420.3719106416248
206000,-1302626.9513825413,388.4023657811448
206500,-1302667.354959413,447.05069876346573
207000,-1302659.7650279864,345.4784168106788
207500,-1302627.579868022,359.6897080897066
208000,-1302650.3507927721,491.3790491626421
208500,-1302649.9799195305,371.40209731806016
209000,-1302628.8065300891,377.93937297058153
209500,-1302641.7343857496,449.09188632569266
210000,-1302611.9608594575,366.64078541950227
210500,-1302640.197100597,359.75769031796574
211000,-1302661.7134580493,350.5806393975206
211500,-1302646.8808313163,440.78110448960746
212000,-1302667.4489938805,584.4816138117392
212500,-1302642.072292927,510.57891161683597
213000,-1302650.8699821199,416.47900179660223
213500,-1302667.122531474,374.3711109304907
214000,-1302626.2022873228,352.3995937026489
214500,-1302663.4181807253,390.54138827513367
215000,-1302642.070995358,323.3409739978382
215500,-1302657.112380224,384.80609731493684
216000,-1302671.8222525087,320.2224875228378
216500,-1302666.3948911405,281.1726530068779
217000,-1302636.5029109167,364.550706394766
217500,-1302640.920819099,351.59179723750094
218000,-1302628.2476202582,287.40250618344254
218500,-1302633.141184777,376.52456023535586
219000,-1302614.1996373595,435.34520354238606
219500,-1302646.1410151338,529.0351897879136
220000,-1302638.9987724298,352.7049594814149
220500,-1302610.0424309901,364.28117479048774
221000,-1302635.44884484,326.52984053955714
221500,-1302671.7477202264,430.72638164184474
222000,-1302626.7340900637,358.91545840026436
222500,-1302640.1925943403,521.6445407144843
223000,-1302620.802293752,388.9178006047114
223500,-1302646.5726984737,447.578732780427
224000,-1302640.196853042,419.72249615668625
224500,-1302633.0348390553,417.9278889003552
225000,-1302616.780733258,412.1741158150394
225500,-1302657.9001212814,338.52625408134713
226000,-1302664.925674701,487.51261915056307
226500,-1302657.2014853354,511.1031731481912
227000,-1302657.462951495,494.15323257788356
227500,-1302644.773518995,462.2487076857994
228000,-1302673.0133895017,476.5571850948405
228500,-1302655.733098004,406.3793503900231
229000,-1302640.529730034,400.3202471943975
229500,-1302649.4641496744,464.0660363926659
230000,-1302646.5463166076,451.9097579032538
230500,-1302676.1864158525,372.75946762858234
231000,-1302674.2539704216,377.5286157232008
231500,-1302640.4398973577,349.77923519582686
232000,-1302645.7986050968,279.8795622275465
232500,-1302676.1513717026,310.4231940718062
233000,-1302662.3099117253,298.0061970025072
233500,-1302642.1406530833,353.2794346938597
234000,-1302653.0796372879,398.2332253515463
234500,-1302628.1307433525,500.5676411084761
235000,-1302653.8553292442,584.0800603648413
235500,-1302665.6999169998,440.7007863750876
236000,-1302673.144421626,377.54490620844734
236500,-1302671.7752181173,399.0410119538192
237000,-1302652.3354595662,421.92576373807225
237500,-1302649.8445017454,344.59394775574503
238000,-1302671.9993064366,320.9702554161668
238500,-1302680.6974284793,341.143600681016
239000,-1302672.9169770076,261.6969456009731
239500,-1302674.2446107378,397.20134050176557
